Identificador,Producto,Marca,Precio,Cantidad
8387859,Libro,Faber Castell,15,335
2214332,Tijeras,Pritt,20,793
1159776,Cuaderno,Santillana,13,382
9237357,Regla,Santillana,11,283
7290877,Lapiz,Santillana,11,399
8838326,Borrador,Staedtler,11,771
7521332,Goma,Sharpie,5,509
1595744,Libro,Milan,8,691
1584967,Tijeras,Santillana,2,168
9587938,Libro,Sharpie,8,278
2449335,Plumon,Santillana,11,712
7052995,Goma,Maped,13,479
5617093,Regla,Sharpie,13,533
6681911,Libro,Bic,13,633
8854938,Lapiz,Pritt,13,474
2778003,Borrador,Pritt,2,792
4022605,Borrador,Pritt,13,186
7737723,Pegamento,Milan,7,352
8685791,Tijeras,Faber Castell,8,212
6958665,Sacapuntas,Pritt,10,734
9177231,Goma,Santillana,10,473
9854328,Libro,Bic,11,534
1565606,Tijeras,Pritt,13,772
8609458,Tijeras,Faber Castell,11,670
2753734,Sacapuntas,Santillana,3,420
5549629,Sacapuntas,Sharpie,5,207
8318619,Tijeras,Santillana,11,249
5393591,Pegamento,Maped,20,674
2440943,Sacapuntas,Fabber Castell,15,603
3549999,Tijeras,Pritt,2,777
3997863,Sacapuntas,Milan,13,474
4376852,Pegamento,Staedtler,11,658
2031297,Pegamento,Norma,5,682
8314948,Pegamento,Norma,2,377
4931235,Sacapuntas,Staedtler,11,664
5119049,Borrador,Norma,3,734
7655153,Regla,Milan,15,497
9708904,Borrador,Sharpie,13,453
2227837,Tijeras,Norma,5,246
3346351,Lapiz,Fabber Castell,8,288
3937035,Sacapuntas,Santillana,3,224
1705412,Borrador,Faber Castell,13,600
5970887,Lapiz,Staedtler,7,571
7041918,Lapiz,Faber Castell,13,213
2791236,Plumon,Bic,7,400
3085328,Goma,Norma,10,436
1592256,Tijeras,Maped,5,418
9725837,Regla,Norma,11,341
2322022,Regla,Milan,10,294
4361751,Lapiz,Fabber Castell,11,759
7219602,Libro,Santillana,3,302
5034453,Plumon,Fabber Castell,7,209
8018045,Lapiz,Milan,15,419
6638917,Libro,Maped,11,254
1925933,Pegamento,Santillana,5,738
3219897,Lapiz,Maped,3,607
1845245,Goma,Staedtler,5,159
3520211,Borrador,Norma,13,643
8351166,Tijeras,Fabber Castell,11,415
5796124,Libro,Maped,8,257
7264284,Lapiz,Pritt,13,480
7209642,Regla,Bic,13,608
3121694,Lapiz,Sharpie,5,674
5135198,Borrador,Norma,3,116
9044428,Plumon,Maped,15,424
6050185,Tijeras,Norma,15,570
5547143,Goma,Faber Castell,3,797
5986345,Plumon,Faber Castell,15,773
2549613,Goma,Maped,13,520
3298391,Lapiz,Santillana,2,588
2088581,Cuaderno,Bic,5,757
9609196,Tijeras,Maped,15,512
2606068,Regla,Santillana,7,459
5977324,Goma,Pritt,5,215
9789418,Sacapuntas,Bic,2,445
4364436,Regla,Santillana,3,342
9620517,Libro,Bic,7,519
3006754,Regla,Bic,2,446
6970786,Libro,Fabber Castell,2,538
5814407,Regla,Faber Castell,3,179
3781884,Libro,Maped,10,297
9396041,Tijeras,Pritt,8,184
5336490,Plumon,Fabber Castell,3,337
7283871,Borrador,Pritt,20,649
2948575,Lapiz,Sharpie,20,518
4466293,Lapiz,Fabber Castell,2,143
6593322,Pegamento,Norma,5,593
7102792,Regla,Milan,10,306
6539376,Libro,Faber Castell,5,162
7248508,Cuaderno,Faber Castell,15,276
7299054,Sacapuntas,Faber Castell,13,793
7833960,Lapiz,Santillana,10,430
4362756,Regla,Bic,11,409
7864141,Goma,Milan,5,402
7771553,Libro,Staedtler,2,769
3248171,Sacapuntas,Staedtler,5,655
1543771,Tijeras,Pritt,20,708
4887161,Tijeras,Pritt,15,751
4815607,Cuaderno,Pritt,2,214
5698167,Regla,Milan,11,700
9393886,Sacapuntas,Bic,15,683
4653942,Borrador,Staedtler,11,216
4261407,Sacapuntas,Sharpie,11,341
8014730,Lapiz,Milan,10,168
6888738,Pegamento,Milan,15,667
3437392,Borrador,Fabber Castell,13,204
9500391,Cuaderno,Faber Castell,3,370
2381880,Regla,Sharpie,10,478
7120707,Lapiz,Milan,11,501
5803551,Plumon,Santillana,11,249
3634329,Tijeras,Maped,15,743
5346627,Sacapuntas,Staedtler,8,554
3556114,Borrador,Fabber Castell,20,485
6931699,Plumon,Staedtler,8,622
1958176,Libro,Santillana,13,472
5531167,Cuaderno,Sharpie,2,148
5453671,Lapiz,Norma,20,512
5310224,Regla,Pritt,20,171
7437619,Tijeras,Santillana,5,128
5213085,Lapiz,Pritt,3,199
2500764,Cuaderno,Faber Castell,10,357
4072513,Borrador,Santillana,15,637
1592831,Pegamento,Sharpie,2,651
2796125,Goma,Maped,15,516
1167331,Libro,Santillana,8,486
7403399,Regla,Sharpie,11,195
8842668,Tijeras,Staedtler,7,146
1721152,Plumon,Sharpie,11,326
9145859,Tijeras,Sharpie,15,421
3661906,Lapiz,Staedtler,2,480
8498938,Lapiz,Fabber Castell,11,549
9502915,Lapiz,Fabber Castell,7,147
2786793,Pegamento,Milan,20,316
9329578,Libro,Fabber Castell,10,445
4631884,Borrador,Sharpie,5,406
4583780,Sacapuntas,Norma,15,654
9602507,Goma,Fabber Castell,5,409
3905950,Regla,Bic,8,128
5695006,Pegamento,Milan,13,345
6768841,Cuaderno,Staedtler,8,374
8291087,Cuaderno,Santillana,3,233
1316421,Pegamento,Milan,7,239
5387782,Libro,Santillana,13,586
6043983,Lapiz,Sharpie,13,739
2059375,Libro,Santillana,7,732
9617437,Regla,Bic,20,444
1492652,Pegamento,Sharpie,20,499
6374657,Plumon,Maped,20,710
4146077,Plumon,Maped,13,253
3303605,Libro,Sharpie,5,728
4528567,Lapiz,Norma,2,725
4718872,Lapiz,Santillana,13,329
5368008,Plumon,Faber Castell,13,323
1369492,Libro,Norma,10,524
3601812,Sacapuntas,Norma,20,326
3658861,Regla,Milan,11,193
4497721,Libro,Milan,15,302
6267552,Regla,Sharpie,3,779
8677863,Borrador,Santillana,20,577
2978943,Pegamento,Fabber Castell,20,755
6492940,Regla,Norma,11,294
4814683,Libro,Sharpie,13,329
9659334,Plumon,Sharpie,2,520
6099456,Plumon,Milan,8,535
8606910,Libro,Milan,2,172
9550974,Borrador,Bic,11,676
4555438,Tijeras,Fabber Castell,11,509
3164885,Borrador,Santillana,15,770
7256595,Borrador,Fabber Castell,8,499
2644485,Sacapuntas,Fabber Castell,13,285
7503544,Cuaderno,Bic,8,157
8808101,Regla,Santillana,10,374
6109348,Cuaderno,Sharpie,5,403
3155817,Lapiz,Milan,20,163
2520029,Goma,Norma,8,112
7580070,Lapiz,Faber Castell,2,378
8423215,Pegamento,Bic,10,131
6670906,Tijeras,Fabber Castell,13,349
4779480,Goma,Bic,2,176
7948509,Lapiz,Pritt,3,495
4407542,Tijeras,Pritt,10,395
4044381,Borrador,Santillana,20,549
7730262,Regla,Staedtler,20,676
9194559,Regla,Santillana,11,371
3497342,Borrador,Fabber Castell,7,134
6620890,Lapiz,Norma,5,727
8547488,Borrador,Fabber Castell,8,721
7162640,Regla,Fabber Castell,8,784
5669964,Goma,Maped,13,493
6189401,Libro,Bic,11,184
8216026,Regla,Norma,2,234
8475513,Plumon,Norma,11,288
5483749,Borrador,Faber Castell,11,138
6019613,Sacapuntas,Milan,3,126
1586092,Sacapuntas,Santillana,10,432
8267212,Sacapuntas,Bic,8,319
8336234,Borrador,Sharpie,15,167
2089408,Goma,Pritt,3,377
2592858,Lapiz,Santillana,7,684
7500543,Libro,Norma,5,361
1427223,Sacapuntas,Faber Castell,7,130
1301032,Plumon,Santillana,8,161
6877930,Libro,Maped,3,757
4919010,Lapiz,Maped,20,661
1864718,Borrador,Faber Castell,8,411
5357712,Regla,Sharpie,20,693
4616425,Cuaderno,Pritt,20,130
5216235,Lapiz,Maped,8,384
4459547,Lapiz,Sharpie,7,772
1936639,Libro,Santillana,3,552
6456533,Libro,Faber Castell,5,691
5243299,Sacapuntas,Bic,20,441
5635234,Plumon,Santillana,11,329
1212947,Cuaderno,Milan,5,537
3067947,Borrador,Maped,3,747
7645988,Pegamento,Sharpie,2,198
2245119,Cuaderno,Santillana,15,373
5609594,Lapiz,Faber Castell,5,298
3240718,Libro,Faber Castell,7,159
7753030,Goma,Maped,13,149
1329169,Regla,Staedtler,15,658
6875937,Goma,Maped,2,493
6856623,Libro,Milan,11,645
6814622,Goma,Norma,11,738
4078555,Pegamento,Faber Castell,20,269
6938741,Plumon,Staedtler,7,647
7350972,Pegamento,Santillana,8,506
4326975,Plumon,Santillana,7,742
8586971,Sacapuntas,Maped,2,522
4075664,Lapiz,Faber Castell,5,657
7105037,Tijeras,Bic,7,372
7876796,Regla,Norma,15,231
5861711,Cuaderno,Maped,8,709
7736054,Goma,Staedtler,20,483
4674741,Tijeras,Santillana,10,529
3932809,Goma,Faber Castell,3,188
1649425,Borrador,Fabber Castell,7,776
3806941,Regla,Fabber Castell,11,359
4949570,Sacapuntas,Faber Castell,7,732
3656336,Borrador,Staedtler,13,614
5489387,Borrador,Pritt,10,462
6436126,Libro,Santillana,15,741
1551620,Plumon,Fabber Castell,10,117
6161803,Plumon,Faber Castell,13,179
2310297,Tijeras,Norma,7,195
8081772,Lapiz,Pritt,3,639
3330922,Sacapuntas,Norma,13,242
7682394,Borrador,Sharpie,3,241
2674312,Regla,Sharpie,13,519
6078153,Sacapuntas,Pritt,2,181
6746520,Tijeras,Milan,11,697
2907034,Pegamento,Santillana,20,384
6178935,Libro,Maped,11,375
6937344,Regla,Sharpie,3,353
2125380,Cuaderno,Faber Castell,2,138
8407686,Cuaderno,Milan,7,100
6205562,Sacapuntas,Fabber Castell,10,445
4288129,Cuaderno,Maped,2,251
7800714,Goma,Milan,13,304
6307734,Lapiz,Pritt,15,566
6738718,Sacapuntas,Sharpie,2,531
3630114,Plumon,Bic,8,671
6929234,Libro,Fabber Castell,7,417
8015979,Goma,Staedtler,20,430
1090249,Cuaderno,Santillana,11,461
1877818,Sacapuntas,Bic,10,709
1976499,Plumon,Norma,7,680
7824720,Libro,Staedtler,15,643
8947254,Libro,Pritt,7,144
5261884,Pegamento,Santillana,2,727
6815442,Libro,Faber Castell,13,112
2789843,Pegamento,Fabber Castell,15,359
7595749,Tijeras,Bic,8,763
8887249,Plumon,Sharpie,2,640
1341103,Tijeras,Santillana,7,393
9794360,Pegamento,Staedtler,20,660
5104945,Goma,Milan,20,307
1967374,Lapiz,Norma,8,326
9786753,Goma,Santillana,3,667
5780180,Libro,Bic,13,374
2161082,Cuaderno,Pritt,2,586
6351106,Pegamento,Sharpie,7,304
1205474,Plumon,Pritt,8,208
8326401,Lapiz,Maped,5,421
1185014,Lapiz,Pritt,2,656
1692271,Borrador,Pritt,7,364
8309797,Cuaderno,Bic,10,755
6022373,Lapiz,Bic,7,107
5599824,Plumon,Norma,5,291
1225995,Cuaderno,Faber Castell,13,621
5300689,Cuaderno,Maped,11,174
2741153,Pegamento,Fabber Castell,15,416
1698948,Tijeras,Fabber Castell,5,455
1014643,Libro,Staedtler,3,457
8091274,Sacapuntas,Milan,10,407
7389940,Libro,Bic,8,202
7456707,Regla,Milan,3,211
2848151,Plumon,Staedtler,8,701
5486892,Tijeras,Milan,11,763
9477106,Lapiz,Bic,2,758
7865243,Plumon,Norma,2,777
9110168,Cuaderno,Pritt,3,198
5467766,Libro,Milan,7,603
6937147,Lapiz,Sharpie,20,181
9667890,Lapiz,Staedtler,7,347
7610402,Lapiz,Bic,2,290
4025078,Pegamento,Bic,7,543
6023142,Borrador,Faber Castell,3,470
4442414,Pegamento,Faber Castell,3,122
9918437,Borrador,Milan,15,253
8894672,Plumon,Pritt,3,322
2936073,Cuaderno,Santillana,15,319
5876747,Goma,Fabber Castell,7,162
1441436,Tijeras,Faber Castell,15,324
7141534,Regla,Sharpie,13,746
8843913,Sacapuntas,Staedtler,8,494
3504165,Plumon,Maped,2,764
5708528,Regla,Fabber Castell,2,100
1925869,Goma,Faber Castell,15,378
4715968,Tijeras,Bic,13,150
2739391,Goma,Santillana,13,667
5564726,Lapiz,Staedtler,5,419
6099647,Borrador,Norma,20,434
7148342,Goma,Bic,7,113
8723369,Lapiz,Sharpie,10,572
4975568,Goma,Faber Castell,3,633
2601410,Pegamento,Staedtler,2,726
6784495,Goma,Norma,15,139
1595369,Borrador,Santillana,15,527
6409011,Cuaderno,Pritt,5,326
7758349,Regla,Santillana,3,541
6980780,Lapiz,Bic,8,669
5836120,Plumon,Milan,15,570
7171956,Goma,Milan,7,709
7657538,Borrador,Santillana,10,281
8492944,Cuaderno,Staedtler,3,416
2394330,Cuaderno,Pritt,8,468
2806227,Pegamento,Pritt,15,363
8461455,Pegamento,Bic,11,493
4708222,Goma,Pritt,10,300
3462465,Pegamento,Santillana,2,344
9660614,Borrador,Maped,3,668
4003120,Pegamento,Maped,2,370
3781849,Lapiz,Maped,2,256
7291990,Plumon,Maped,10,738
5436548,Libro,Fabber Castell,15,562
8705382,Lapiz,Staedtler,8,239
7350268,Borrador,Sharpie,3,389
6613198,Pegamento,Sharpie,15,236
6708274,Libro,Norma,7,493
8207403,Lapiz,Sharpie,7,365
5915007,Cuaderno,Faber Castell,8,521
9656830,Goma,Fabber Castell,13,170
8047229,Lapiz,Bic,10,670
4448192,Libro,Maped,15,668
9269504,Tijeras,Bic,3,430
2858239,Plumon,Bic,13,741
6624380,Cuaderno,Pritt,2,165
4759063,Libro,Staedtler,3,266
2111539,Goma,Maped,13,576
1512856,Goma,Santillana,10,160
4359352,Cuaderno,Maped,13,573
5945041,Cuaderno,Staedtler,11,194
4135683,Libro,Milan,20,324
3687405,Plumon,Fabber Castell,13,399
6390546,Regla,Santillana,10,390
9692963,Lapiz,Maped,10,667
4551059,Goma,Santillana,3,263
7016747,Tijeras,Bic,11,188
1181908,Borrador,Pritt,13,532
8153107,Goma,Santillana,3,606
7912887,Regla,Bic,10,125
3721083,Regla,Pritt,10,555
4526006,Sacapuntas,Pritt,13,414
4558840,Sacapuntas,Faber Castell,15,428
6367496,Cuaderno,Fabber Castell,10,596
8748084,Plumon,Bic,2,752
9399185,Tijeras,Bic,2,152
6994377,Tijeras,Bic,5,136
2046995,Sacapuntas,Bic,15,190
4267229,Lapiz,Maped,5,773
7618290,Cuaderno,Milan,13,455
8709742,Plumon,Staedtler,15,243
1713587,Libro,Bic,20,471
9332118,Cuaderno,Norma,20,158
9283605,Goma,Faber Castell,7,430
1025758,Lapiz,Norma,8,639
4187662,Regla,Fabber Castell,15,181
7461853,Libro,Staedtler,8,430
3708453,Sacapuntas,Sharpie,2,226
5458706,Cuaderno,Maped,8,174
9621106,Borrador,Norma,3,305
7424538,Sacapuntas,Staedtler,11,677
6147014,Cuaderno,Fabber Castell,2,382
2033061,Plumon,Fabber Castell,5,226
2674106,Libro,Pritt,10,693
5936475,Cuaderno,Santillana,5,395
2828444,Tijeras,Faber Castell,5,383
7389285,Cuaderno,Milan,8,250
2360165,Regla,Santillana,11,636
5318985,Tijeras,Bic,15,222
4715781,Cuaderno,Santillana,11,459
2592782,Cuaderno,Maped,20,649
3076211,Cuaderno,Santillana,5,659
4631847,Plumon,Maped,2,253
4902425,Pegamento,Pritt,3,789
2023109,Regla,Staedtler,15,673
3626296,Borrador,Santillana,15,255
4757784,Borrador,Maped,10,560
3394274,Sacapuntas,Staedtler,5,636
6621793,Sacapuntas,Bic,7,464
2925513,Borrador,Fabber Castell,2,771
4418498,Borrador,Faber Castell,11,330
7649083,Libro,Faber Castell,11,236
1182321,Libro,Staedtler,15,188
1888891,Libro,Bic,2,797
5770296,Regla,Bic,13,149
5525525,Sacapuntas,Staedtler,10,498
6844884,Plumon,Faber Castell,20,187
3583223,Tijeras,Sharpie,2,656
2979786,Plumon,Bic,7,799
4693092,Lapiz,Pritt,20,284
2708036,Cuaderno,Milan,10,525
3124617,Regla,Milan,8,729
4746379,Goma,Sharpie,3,569
1902829,Cuaderno,Fabber Castell,13,420
6656648,Pegamento,Bic,13,554
9488443,Cuaderno,Norma,8,617
4585657,Sacapuntas,Santillana,2,390
6874618,Regla,Milan,15,431
1173517,Goma,Bic,20,146
4021498,Regla,Fabber Castell,8,112
2250408,Goma,Fabber Castell,7,256
6613353,Borrador,Faber Castell,11,597
3298555,Goma,Sharpie,8,391
9450937,Regla,Norma,2,517
4407658,Tijeras,Santillana,20,420
6906650,Lapiz,Faber Castell,5,677
9900683,Tijeras,Fabber Castell,5,521
9672081,Regla,Staedtler,20,506
1828398,Goma,Maped,7,592
6837389,Plumon,Pritt,8,470
2505390,Sacapuntas,Faber Castell,20,115
5529126,Regla,Maped,8,715
6111275,Plumon,Faber Castell,3,419
8313109,Lapiz,Pritt,2,275
6706302,Plumon,Fabber Castell,5,286
5254664,Goma,Milan,2,793
5493830,Cuaderno,Sharpie,8,192
3984719,Lapiz,Pritt,8,664
5339770,Borrador,Santillana,2,184
3830744,Tijeras,Sharpie,7,497
7292059,Goma,Staedtler,10,407
3593314,Libro,Santillana,13,443
8738211,Plumon,Milan,8,564
6850855,Sacapuntas,Fabber Castell,13,501
4641750,Borrador,Pritt,8,743
1139329,Pegamento,Faber Castell,20,586
4036410,Libro,Sharpie,20,445
2908591,Pegamento,Sharpie,3,259
6431709,Sacapuntas,Santillana,5,284
4136689,Tijeras,Santillana,7,704
4890057,Lapiz,Norma,13,550
2932910,Sacapuntas,Staedtler,2,553
2932868,Libro,Faber Castell,8,486
2960676,Sacapuntas,Faber Castell,11,478
5494349,Sacapuntas,Milan,11,517
8581833,Tijeras,Pritt,2,190
9010616,Pegamento,Fabber Castell,15,419
2568687,Cuaderno,Sharpie,20,398
3672734,Sacapuntas,Maped,5,539
7775053,Sacapuntas,Bic,10,327
5829910,Cuaderno,Maped,13,704
8320066,Cuaderno,Bic,10,184
1018225,Tijeras,Staedtler,3,588
2140268,Plumon,Bic,11,274
3740854,Goma,Bic,2,648
8195272,Pegamento,Faber Castell,3,309
8818420,Sacapuntas,Faber Castell,7,461
2695063,Cuaderno,Staedtler,15,529
8339904,Goma,Pritt,13,335
8156471,Cuaderno,Bic,8,329
6656118,Sacapuntas,Pritt,7,446
5731908,Pegamento,Faber Castell,2,103
2629138,Tijeras,Santillana,13,222
8177670,Plumon,Sharpie,11,305
5234583,Borrador,Fabber Castell,8,502
9232711,Pegamento,Bic,11,514
6338054,Regla,Staedtler,8,442
4065788,Plumon,Maped,8,254
1695892,Sacapuntas,Norma,20,583
1946862,Borrador,Milan,20,577
4439370,Sacapuntas,Bic,13,300
4568664,Pegamento,Bic,2,541
4801646,Goma,Milan,8,630
3634829,Pegamento,Faber Castell,7,539
7146065,Lapiz,Maped,20,592
7531678,Cuaderno,Norma,13,358
3235311,Goma,Fabber Castell,15,394
6466946,Libro,Norma,7,385
3104604,Libro,Maped,7,233
1237234,Pegamento,Bic,5,490
1241272,Libro,Sharpie,8,309
3001804,Pegamento,Maped,10,489
1345687,Lapiz,Fabber Castell,7,289
5281874,Sacapuntas,Santillana,11,503
9675798,Libro,Santillana,13,635
3627001,Tijeras,Santillana,5,159
5280730,Regla,Pritt,8,514
9190550,Lapiz,Bic,13,497
1954956,Goma,Santillana,3,192
1631013,Tijeras,Maped,2,784
7580133,Pegamento,Norma,7,148
5720359,Plumon,Pritt,3,505
6951899,Plumon,Sharpie,5,232
8429817,Cuaderno,Norma,3,149
1405244,Lapiz,Sharpie,8,354
3381832,Sacapuntas,Maped,5,719
5166800,Plumon,Milan,7,520
6711924,Borrador,Pritt,11,721
8890671,Tijeras,Santillana,11,576
4842176,Sacapuntas,Faber Castell,7,547
8271852,Pegamento,Santillana,11,576
9264134,Borrador,Maped,3,403
4802306,Goma,Bic,11,172
5045790,Plumon,Milan,20,516
2432155,Borrador,Santillana,13,244
4930231,Libro,Norma,8,622
9580733,Borrador,Faber Castell,2,264
3646829,Regla,Bic,3,481
5063218,Sacapuntas,Sharpie,13,688
1341838,Plumon,Milan,13,521
7665270,Borrador,Pritt,7,275
8057222,Cuaderno,Staedtler,8,704
5802192,Lapiz,Faber Castell,5,664
9315042,Sacapuntas,Bic,10,231
1030057,Regla,Norma,11,347
1508662,Borrador,Norma,13,791
1899513,Plumon,Bic,7,198
3252416,Tijeras,Bic,10,761
8096497,Goma,Sharpie,8,142
7663675,Lapiz,Fabber Castell,13,102
5518601,Borrador,Fabber Castell,11,288
7135581,Sacapuntas,Sharpie,10,168
7351844,Borrador,Norma,3,356
2706644,Borrador,Bic,3,703
8556642,Pegamento,Santillana,20,331
5648577,Borrador,Santillana,2,795
7467203,Goma,Faber Castell,8,524
4555659,Libro,Santillana,11,114
1702277,Borrador,Milan,8,670
4258326,Sacapuntas,Faber Castell,15,474
3350624,Libro,Bic,2,396
1205357,Tijeras,Bic,3,247
9668127,Regla,Fabber Castell,20,271
9422795,Goma,Faber Castell,5,499
3491519,Pegamento,Milan,11,646
8078471,Goma,Santillana,13,524
2309614,Libro,Bic,7,529
5451006,Regla,Norma,20,536
1395109,Borrador,Fabber Castell,20,393
6008831,Borrador,Maped,3,104
4661581,Sacapuntas,Sharpie,8,244
8931008,Regla,Maped,20,587
9520523,Goma,Norma,2,301
5834808,Pegamento,Bic,15,613
8858713,Sacapuntas,Norma,13,566
4384556,Borrador,Bic,3,689
7518362,Pegamento,Bic,3,488
2305935,Lapiz,Pritt,11,199
8032617,Tijeras,Fabber Castell,10,589
1482056,Sacapuntas,Pritt,13,784
4550825,Lapiz,Milan,13,650
5034371,Libro,Sharpie,15,535
6187762,Regla,Sharpie,10,469
7211770,Lapiz,Milan,3,482
1965536,Plumon,Maped,13,658
9781702,Plumon,Pritt,2,213
5580554,Regla,Santillana,5,494
4621653,Regla,Faber Castell,10,470
4658163,Libro,Norma,2,314
8357743,Lapiz,Bic,3,142
6527648,Plumon,Milan,15,411
8386661,Regla,Sharpie,7,631
3553280,Tijeras,Staedtler,8,625
6840891,Pegamento,Pritt,7,379
1556358,Borrador,Fabber Castell,3,319
4392387,Cuaderno,Pritt,2,456
4721279,Lapiz,Sharpie,7,628
4623932,Lapiz,Faber Castell,15,366
3488793,Goma,Sharpie,3,648
7829917,Libro,Milan,7,390
8965104,Borrador,Fabber Castell,2,501
2230622,Plumon,Maped,5,730
5195994,Sacapuntas,Fabber Castell,20,645
3875877,Plumon,Fabber Castell,15,750
9612451,Lapiz,Milan,10,619
9832085,Goma,Pritt,10,244
9806902,Goma,Fabber Castell,10,350
4371758,Libro,Fabber Castell,8,551
5469451,Borrador,Sharpie,10,232
4118165,Tijeras,Santillana,3,379
7009468,Sacapuntas,Santillana,2,607
3171967,Tijeras,Faber Castell,3,115
6344910,Plumon,Fabber Castell,10,200
6956594,Borrador,Staedtler,8,118
3485180,Cuaderno,Pritt,13,341
7593645,Cuaderno,Norma,5,103
4972573,Sacapuntas,Staedtler,11,154
6742207,Pegamento,Sharpie,2,792
2033575,Regla,Norma,20,536
3558241,Goma,Sharpie,2,746
5363888,Tijeras,Pritt,15,794
8331485,Sacapuntas,Bic,5,652
2453511,Plumon,Maped,10,627
9028191,Lapiz,Santillana,10,750
7351053,Plumon,Faber Castell,20,441
4004962,Plumon,Maped,8,286
5222294,Regla,Milan,15,776
2317445,Pegamento,Maped,2,417
4249543,Sacapuntas,Pritt,7,281
4290921,Tijeras,Fabber Castell,2,469
9697711,Sacapuntas,Faber Castell,20,383
5991938,Tijeras,Santillana,8,211
6761908,Sacapuntas,Sharpie,3,226
8927545,Plumon,Milan,11,454
6516529,Goma,Norma,13,413
1552636,Borrador,Maped,11,534
1740533,Pegamento,Bic,2,344
8117862,Sacapuntas,Santillana,5,551
4246723,Cuaderno,Norma,11,337
1230042,Regla,Milan,13,165
1070784,Libro,Bic,5,566
5206475,Lapiz,Staedtler,20,122
9349973,Lapiz,Staedtler,13,415
6963487,Cuaderno,Santillana,11,622
2570599,Pegamento,Milan,20,167
6821759,Lapiz,Staedtler,3,537
6058053,Cuaderno,Sharpie,13,434
9744618,Cuaderno,Staedtler,13,670
